Date,Buy,Sell,Units,Value Per Unit
01/01/2019,EUR,,3347.230,1.0
01/01/2019,BTC,EUR,1.0,3347.23
01/01/2019,ETH,BTC,27.64033200,0.036178
01/06/2019,BTC,ETH,1.06500873000,25.953150
02/03/2019,ETH,BTC,33.73922700,0.031566
02/03/2019,BTC,ETH,1.04560460800,32.267672
02/08/2019,ETH,BTC,33.07389300,0.031613
02/24/2019,BTC,ETH,1.21695962900,27.177477
03/05/2019,ETH,BTC,34.29567000,0.035484
03/08/2019,BTC,ETH,1.19960432000,28.589151
03/15/2019,ETH,BTC,34.39557000,0.034876
03/18/2019,BTC,ETH,1.18774303500,28.958763
03/27/2019,ETH,BTC,34.60136400,0.034326
04/01/2019,BTC,ETH,1.18134125600,29.289897
04/08/2019,ETH,BTC,33.71625000,0.035038
04/11/2019,BTC,ETH,1.11464782800,30.248343
04/18/2019,ETH,BTC,34.14282300,0.032646
04/21/2019,BTC,ETH,1.09973966600,31.046277
05/01/2019,ETH,BTC,36.36759600,0.030239
05/01/2019,BTC,ETH,1.08944668900,33.381712
05/06/2019,ETH,BTC,36.01994400,0.030245
05/07/2019,BTC,ETH,1.05430134000,34.164752
05/15/2019,ETH,BTC,37.98697500,0.027754
05/19/2019,BTC,ETH,1.20549456200,31.511527
05/29/2019,ETH,BTC,38.40156000,0.031391
05/30/2019,BTC,ETH,1.18064734600,32.525851
06/01/2019,ETH,BTC,37.32563700,0.031631
06/01/2019,BTC,ETH,1.15300949000,32.372358
06/04/2019,ETH,BTC,36.55740600,0.031539
06/07/2019,BTC,ETH,1.14056995700,32.051875
06/12/2019,ETH,BTC,36.81115200,0.030983
06/14/2019,BTC,ETH,1.13687405500,32.379270
06/30/2019,ETH,BTC,42.61734000,0.026676
07/02/2019,BTC,ETH,1.14478258300,37.227453
07/07/2019,ETH,BTC,42.80215500,0.026745
07/08/2019,BTC,ETH,1.11233777800,38.479458
07/24/2019,ETH,BTC,50.80114800,0.021895
07/31/2019,BTC,ETH,1.11000835200,45.766455
08/13/2019,ETH,BTC,58.20074100,0.019072
08/14/2019,BTC,ETH,1.08062349000,53.858482
08/18/2019,ETH,BTC,57.17077200,0.018901
08/20/2019,BTC,ETH,1.05790095000,54.041705
08/22/2019,ETH,BTC,56.70324000,0.018656
08/25/2019,BTC,ETH,1.04840966400,54.085003
09/07/2019,ETH,BTC,61.33860000,0.017092
09/13/2019,BTC,ETH,1.06204710600,57.755065
09/13/2019,ETH,BTC,60.64229700,0.017513
09/24/2019,BTC,ETH,1.25476108400,48.329755
09/27/2019,ETH,BTC,60.69924000,0.020671
10/11/2019,BTC,ETH,1.32179368200,45.921871
10/14/2019,ETH,BTC,59.78515500,0.022109
10/16/2019,BTC,ETH,1.31287968000,45.537421
10/24/2019,ETH,BTC,60.57236700,0.021674
10/25/2019,BTC,ETH,1.27685164200,47.438844
10/30/2019,ETH,BTC,62.98495200,0.020272
10/30/2019,BTC,ETH,1.25703606200,50.105922
11/04/2019,ETH,BTC,62.54439300,0.020098
11/05/2019,BTC,ETH,1.23525839000,50.632639
11/05/2019,ETH,BTC,61.07586300,0.020225
11/21/2019,BTC,ETH,1.28721077500,47.448222
